"clientmanufacture","clientmodel"
"Lanix","X560"
"Cricket","EC211001"
"samsung","SM-A245F"
"lge","LG-M430"
"TECNO","TECNO CM6"
"motorola","motorola one vision plus"
"ZTE","ZTE A2022L"
"motorola","moto g24 power"
"ZTE","ZTE 8010"
"samsung","SM-G996U"
"Redmi","21091116UG"
"Redmi","21121119VL"
"BLU","BOLD K10"
"Redmi","21061119AL"
"TECNO","TECNO LH8n"
"samsung","SM-A236V"
"Blackview","BV4900Pro"
"Infinix","X678B"
"Redmi","21061119DG"
"ZTE","ZTE Blade L9"
"samsung","SM-A215U"
"samsung","SM-M556B"
"Lanix","Alpha 1R"
"motorola","moto g play - 2023"
"vivo","V2419"
"Redmi","23090RA98G"
"samsung","SM-A125U"
"CUBOT","X70"
"Huawei","JKM-LX3"
"samsung","SM-M315F"
"motorola","motorola edge 40"
"samsung","SM-T720"
"ZTE","ZTE Blade L210"
"samsung","SM-S921U1"
"Alcatel","5029E"
"motorola","motorola one macro"
"Hisense","Hisense V40s"
"samsung","SM-G986U1"
"BLU","G73"
"HONOR","ALT-LX3"
"motorola","motorola one action"
"HUAWEI","HMA-L09"
"xiaomi","Redmi 7"
"ZTE","Z2359"
"Caxilysh","A10"
"realme","RMX3741"
"Redmi","2312CRAD3C"
"motorola","moto g(8) plus"
"DOOGEE","S96GT"
"motorola","moto g24"
"HONOR","VER-N49"
"samsung","SM-A566E"
"CUBOT","A10"
"CUBOT","KINGKONG X PRO"
"samsung","SM-J530GM"
"Infinix","Infinix X6837"
"samsung","SM-S911U1"
"realme","RMX3823"
"POCO","25053PC47G"
"TECNO","TECNO CL6"
"motorola","moto g stylus (2021)"
"Itel","itel S686LN"
"OnePlus","BE2028"
"blackshark","SHARK KTUS-H0"
"Redmi","23100RN82L"
"Redmi","M2101K7BL"
"motorola","motorola edge 20 pro"
"FOSSiBOT","F101"
"Redmi","25028RN03L"
"HONOR","RKY-LX2"
"xiaomi","Mi A2"
"HUAWEI","GLA-LX3"
"UMIDIGI","A11 Pro Max"
"Xiaomi","23122PCD1G"
"samsung","SM-A146U"
"Xiaomi","25010PN30G"
"realme","RMX3999"
"lge","LM-Q850"
"Infinix","Infinix X669D"
"samsung","SM-F936U"
"HUAWEI","NAM-LX9"
"google","Pixel 7 Pro"
"POCO","25028PC03G"
"Infinix","Infinix X6835B"
"samsung","SM-G965U1"
"samsung","SM-A025G"
"HYUNDAI","L651"
"samsung","SM-A505U"
"google","Pixel 2 XL"
"Xiaomi","M2007J3SY"
"samsung","SM-F7310"
"Hisense","Hisense E50 Lite"
"Samsung","SM-A032M"
"motorola","motorola edge 2023"
"Redmi","220333QNY"
"ZTE","ZTE Blade A54"
"motorola","moto g15"
"lge","L-51A"
"ZUUM","AURA PRO"
"samsung","SM-S918W"
"samsung","SM-G986B"
"samsung","SM-N981U"
"samsung","SM-A025U"
